Word,Translation
verge,грань/край/граница
intimidate,запугивать
sugarcoat,приукрашивать (вещи)
cogent,неоспоримый/обоснованный
handful,горсть/кучка
worthy,достойный
inhibit,подавлять/сдерживать
demeanor,поведение/манера себя вести
unequivocal,недвусмысленный
mitigate,смягчать/уменьшать
dent,вмятина/след/выемка
intact,неповрежденный/нетронутый
interrogation,допрос/опрос
unanimous,единогласный/единодушный
untenable,непригодный для жилья
contend,утверждать/бороться/соперничать
promptly,быстро/сразу/точно
ordeal,тяжелое испытание
lease,аренда/наем/сдача
attitude,отношение/позиция
lay out,выкладывать/раскладывать
fragile,хрупкий/слабый/ломкий
tweak,щипать/дергать
dignity,достоинство
rival,соперник/конкурент
vague,расплывчатый/смутный/неясный
urge,убеждать/побуждать/настаивать на
wield,владеть/иметь в руках
doable,выполнимый
homage, уважение/почтение
inquisitive,любознательный пытливый
dump,свалка
curtail,сокращать/урезать
swoon,обморок/падать в обморок
