Word,Translation
prairie,степь
revere,почитать/уважать
prevalent,распространенный
tribe,племя
specter,"призрак, угроза"
enlightenment,просвещение
adolescent,подросток
inevitable,неизбежный
habitat,среда обитания
forge,ковать
despise,презирать
upbringing,воспитание
expenditure,траты/расход
thrive,процветать
don,надевать
head off,мешать
custody,опека
concoct,состряпать
loathe,ненавидеть
decay,разлагаться/распад
oompth,шарм/сексуальность
affront,оскорбление/унижение
revamp,ремонтировать
devastate,опустошать/разорять
foe,противник
malaise,недомогание/дискомфорт
refine,усовершенствовать
dangle,мотаться/свисать
opt,выбирать
ho-hum,посредственный/банальный
wasteland,пустырь
reminiscence,воспоминание
venue,место встречи
outdo,превосходить/преодолевать
abandon,отказываться от/покидать
literally,буквально
denizen,обитатель/житель
delusion,заблуждение
bust,банкротство
lust,похоть/вожделение
implore,вымаливать
show off,выпендриваться
confine,ограничивать
sustain,поддерживать
mankind,человечество
negotiation,переговоры
adamant,непреклонный/твердый
cease,прекращать
retort,возражать/парировать
